"","DispoCode","Elev","Latitude","Succ2","Temp","Prec","SoilPCA","Elephant","VillDist","PopDensity","NightLights"
"117","NRI_P056",0.733652308040227,0.670701146423525,"Sec",-0.730409842896104,-0.751696799124619,1.19629966805361,NA,-0.570553190345053,0.0161592967194744,-0.270988595515286
"118","NRI_P057",-0.850357175079757,-0.984188161830623,"Exp",0.800449142899795,0.517682710848502,2.54273910783674,1,-0.359152401684498,0.161250802469159,0.230844397688559
"119","NRI_P058",-1.07023384554117,-0.866878789752884,"Prm",0.800449142899795,0.558630436976666,2.54273910783674,1,0.506950758261534,0.0404321729499912,-0.326036282995883
"120","NRI_P059",0.213127945315247,0.0384293848061165,"Prm",-0.280157200014957,-0.778995283210062,-0.245505496683791,1,0.800172427727709,-0.321086902011538,-0.305902815550856
"121","NRI_P061",0.702241355117168,1.72472539796688,"Exp",-0.820460371472335,-0.990558534872249,-0.136575481585022,1,4.53720650384714,NA,NA
"122","NRI_P062",-0.338807370332793,-0.713270848793329,"Prm",0.620348085747337,-0.529896615930391,-0.136575481585022,1,-0.193775560795368,-0.221357741020028,-0.22915206803301
"123","NRI_P063",1.21379115986413,-1.39623115911878,"Prm",-1.36076354292971,0.152565486205695,-0.136575481585022,1,-0.21123482460164,0.843118149560202,-0.310235727970827
"124","NRI_P067",-1.44716528061788,-0.262875539928124,"Sec",1.34075231435717,0.637113578722317,-0.245505496683791,1,-0.567534586581092,0.000465624995599668,0.113099207969511
"125","NRI_P068",0.625957612304025,0.756702400342245,"Sec",-0.730409842896104,-0.847241493423671,-0.136575481585022,1,-0.562092846167674,-0.11300435401921,-0.149284246414122
"126","NRI_P069",0.58108482241394,0.582808149517096,"Exp",-0.640359314319877,-0.802881456784826,-0.136575481585022,1,-0.730129569211196,0.20654840672098,1.44313271110951
"127","NRI_P070",1.42020599335852,1.2021886810509,"Prm",-1.45081407150594,-0.417290369077937,-0.136575481585022,1,-0.662749442731833,0.52113258362114,-0.205249225405916
"128","NRI_P071",-0.199701721673531,-0.577270643557481,"Exp",0.530297557171106,-0.908663082615919,-0.136575481585022,1,-0.553052192517331,-0.279238615449222,-0.0905309613771842
"129","NRI_P073",1.12404558008396,-0.939402368696059,"Prm",-1.09061195720102,0.562042747487347,-0.245505496683791,1,-0.722549730996833,-0.328588587886366,-0.108454264223514
"130","NRI_P074",0.774037818941304,0.907084722419487,"Prm",-0.820460371472335,-0.922312324658641,-0.136575481585022,1,0.337945649202552,-0.315198395598017,-0.191990508140015
"131","NRI_P075",0.52275019555683,0.174936896004309,"Exp",-0.19010667143873,0.394839532464006,-0.245505496683791,1,-0.315210252733718,-0.339253440114803,0.122752621994258
